"","day","start_time","end_time","behaviour","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","Notes","patch_focal","treatment","patch_partner","partner_sex"
"177",1,"2:35:09 PM","","mount",",4",",2","","","","","I","isolated","E","male"
"178",1,"2:35:23 PM","","mount",",4","0,","n",NA,"y","","I","isolated","M","female"
"179",1,"2:40:46 PM","","mount",",8","5,","n",NA,"y","","F","social","R","female"
"180",1,"2:43:03 PM","","mount",",9","0,","n",NA,"y","","H","isolated","M","female"
"181",1,"2:52:04 PM","","mount",",3","5,","n",NA,"y","","L","isolated","R","female"
"182",1,"3:09:12 PM","","mount",":0","7,","y","y",NA,"","K","isolated","T","female"
"183",1,"3:14:49 PM","","mount",",3","5,","n",NA,"y","","L","isolated","R","female"
"184",1,"3:17:10 PM","","mount",",3","5,","n",NA,"y","","L","isolated","R","female"
"185",1,"3:17:12 PM","","mount",",5",",3","","","","","B","social","L","male"
"186",1,"3:21:01 PM","","mount",";0",",0","","","","","K","isolated","G","male"
"187",1,"3:24:30 PM","","mount",",6","2,","n",NA,"y","","C","social","O","female"
"188",1,"3:26:02 PM","","mount",",2","0,","n",NA,"y","","E","social","M","female"
"189",1,"3:30:27 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"190",1,"3:31:24 PM","","mount",",1","2,","y","y",NA,"","J","isolated","O","female"
"191",1,"3:41:25 PM","","mount",",8","3,","n",NA,"y","","F","social","P","female"
"192",1,"3:42:52 PM","","mount",",8","3,","n",NA,"y","","F","social","P","female"
"193",1,"3:47:04 PM","","mount",",3","9,","n",NA,"y","","L","isolated","V","female"
"194",1,"3:48:43 PM","","mount",",6",",1","","","","","C","social","J","male"
"195",2,"8:26:54 AM","","mount",",6","2,","n",NA,"y","","C","social","O","female"
"196",2,"9:23:02 AM","","mount",",6",",1","","","","","C","social","J","male"
"197",2,"9:28:34 AM","","mount",",4",",2","","","","","I","isolated","E","male"
"198",2,"9:32:02 AM","","mount",",2",",4","","","","","E","social","I","male"
"199",2,"9:32:17 AM","","mount",",4",",2","","","","","I","isolated","E","male"
"200",2,"9:32:55 AM","","mount",",6","8,","n",NA,"y","","C","social","U","female"
"201",2,"9:45:40 AM","","mount",",6","2,","y","y",NA,"","C","social","O","female"
"202",2,"10:34:43 AM","","mount",",8",",3","","","","","F","social","L","male"
"203",2,"11:16:16 AM","","mount",",3",",8","","","","","L","isolated","F","male"
"204",2,"11:25:14 AM","","mount",",6",",1","","","","","C","social","J","male"
"205",2,"11:36:56 AM","","mount",",2","6,","y","y",NA,"","E","social","S","female"
"206",2,"11:45:31 AM","","mount",",4",",2","","","","","I","isolated","E","male"
"207",2,"11:49:10 AM","11:50:20 AM","insemination",",6","8,","n",NA,"n","","C","social","U","female"
"208",2,"11:50:52 AM","","mount",",1",",6","","","","","J","isolated","C","male"
"209",2,"12:08:05 PM","12:09:52 PM","insemination",":0","7,","n",NA,"n","","K","isolated","T","female"
"210",2,"12:17:06 PM","","mount",",6","8,","y","n","y","","C","social","U","female"
"211",2,"12:17:41 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"212",2,"12:18:05 PM","","insemination",",1","8,","y","n","n","","J","isolated","U","female"
"213",2,"12:28:21 PM","","mount",":1",",9","","","","","D","social","H","male"
"214",2,"12:29:10 PM","12:29:50 PM","insemination",",8","9,","n",NA,"n","","F","social","V","female"
"215",2,"12:30:21 PM","","mount",",0",",8","","","","","G","isolated","F","male"
"216",2,"12:34:22 PM","","mount",",3","0:00","y","y",NA,"","L","isolated","W","female"
"217",2,"12:34:48 PM","","mount",",5",",3","","","","","B","social","L","male"
"218",2,"12:34:51 PM","","mount",",3",",5","","","","","L","isolated","B","male"
"219",2,"12:34:53 PM","","mount",",8",",0","","","","","F","social","G","male"
"220",2,"12:34:56 PM","","mount",",5","0:00","y","y",NA,"","B","social","W","female"
"221",2,"12:38:08 PM","","mount",",0",",3","","","","","G","isolated","L","male"
"222",2,"12:38:28 PM","","mount",",3",",0","","","","","L","isolated","G","male"
"223",2,"12:40:07 PM","","mount",",3",",0","","","","","L","isolated","G","male"
"224",2,"12:40:33 PM","","mount",",7",",3","","","","","A","social","L","male"
"225",2,"12:41:16 PM","","mount",",5","0:00","y","y",NA,"","B","social","W","female"
"226",2,"12:41:21 PM","","mount",",3",",0","","","","","L","isolated","G","male"
"227",2,"12:41:30 PM","","mount",",7","0:00","y","y",NA,"","A","social","W","female"
"228",2,"12:47:23 PM","","mount",",6",",1","","","","","C","social","J","male"
"229",2,"12:48:19 PM","","mount",",5",",8","","","","","B","social","F","male"
"230",2,"12:51:42 PM","","mount",",7",",0","","","","","A","social","G","male"
"231",2,"12:52:18 PM","","mount",",5",",3","","","","","B","social","L","male"
"232",2,"12:54:44 PM","","mount",",9",":1","","","","","H","isolated","D","male"
"233",2,"1:04:55 PM","","mount",",0",",7","","","","","G","isolated","A","male"
"234",2,"1:07:30 PM","","insemination",",5","0:00","Y","N","N","","B","social","W","female"
"235",2,"1:32:34 PM","","mount",",4","7,","N",NA,"Y","","I","isolated","T","female"
"236",2,"1:34:42 PM","","mount",",2","7,","Y","n","y","","E","social","T","female"
"237",2,"1:37:07 PM","","mount",",5",",8","","","","","B","social","F","male"
"238",2,"2:11:02 PM","2:11:44 PM","insemination",":0","8,","n",NA,"n","","K","isolated","U","female"
"239",2,"2:18:27 PM","","mount",",4",",2","","","","","I","isolated","E","male"
"240",2,"2:24:35 PM","2:25:11 PM","insemination",":1","9,","n",NA,"n","","D","social","V","female"
"241",2,"2:25:36 PM","","mount",",3",",8","","","","","L","isolated","F","male"
"242",2,"2:34:05 PM","","mount",":1",",","n",NA,"y","NEED TO EXCLUDE FROM NETWORK BECASE WE DON'T KNOW THE FEMALE","D","social",NA,"female"
"243",2,"2:38:16 PM","","mount",",6",",1","","","","","C","social","J","male"
"244",2,"2:39:16 PM","","mount",",3","0:00","n",NA,"y","","L","isolated","W","female"
"245",2,"2:39:33 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"246",2,"3:19:16 PM","","mount",":0","6,","y","n","y","","K","isolated","S","female"
"247",2,"3:23:15 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"248",2,"3:24:25 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"249",2,"3:24:29 PM","","mount",",6",",1","","","","","C","social","J","male"
"250",2,"3:37:45 PM","","mount",",6",",1","","","","","C","social","J","male"
"251",2,"3:38:28 PM","","mount",",1","1:00","y","n","y","","J","isolated","X","female"
"252",2,"3:39:31 PM","","mount",",1",",6","","","","","J","isolated","C","male"
"253",2,"3:39:56 PM","3:40:38 PM","insemination",",1","1:00","y","n","n","","J","isolated","X","female"
"254",2,"3:42:33 PM","","mount",",6","2,","y","n","y","","C","social","O","female"
