group,replicate,day,time,location,members,notes
318,6,2,1600,2,E G K,
319,6,2,1600,3,F A,
320,6,2,1600,4,B H O T,
321,6,2,1600,5,U S Q F C,
322,6,2,1600,outside,J D M V X P W,
323,1,1,900,2,C R,
324,1,1,900,6,U E,
325,1,1,900,6,N L,
326,1,1,1000,4,S X,
327,1,1,1000,6,N E,
328,1,1,1100,4,X S,
329,1,1,1100,5,B O,
330,1,1,1200,2,K C,
331,1,1,1200,3,W D,
332,1,1,1200,3,L A,
333,1,1,1200,4,H S T,
334,1,1,1300,3,V A F I,
335,1,1,1300,3,W P,
336,1,1,1300,4,S H,
337,1,1,1300,4,K T,
338,1,1,1300,5,B O J,
339,1,1,1400,3,W Q,
340,1,1,1400,3,I L F D A,
341,1,1,1400,5,O B J,
342,1,1,1500,3,I F,
343,1,1,1500,3,D L,
344,1,1,1500,5,N O,
345,1,1,1600,3,I W D F L,
346,1,1,1600,4,H K,
347,1,2,800,1,N V J,
348,1,2,800,2,E Q,
349,1,2,800,3,O U D F I W L M S,
350,1,2,800,4,T H A,
351,1,2,800,5,B P,
352,1,2,900,1,N V J,
353,1,2,900,2,Q E,
354,1,2,900,3,U F O W D I S M L,
355,1,2,900,4,A T H,
356,1,2,1000,1,N V J,
357,1,2,1000,2,Q V,
358,1,2,1000,3,U F W D M O S L I,
359,1,2,1000,4,T A H,
360,1,2,1100,1,J N V,
361,1,2,1100,2,Q E,
362,1,2,1100,3,S I W F D G M O U,
363,1,2,1100,4,T A H K,
364,1,2,1100,5,B P,
365,1,2,1200,1,J V,
366,1,2,1200,3,W O L F I,
367,1,2,1200,4,T A,
368,1,2,1300,2,E Q,
369,1,2,1300,2,C X,
370,1,2,1300,3,O D W,
371,1,2,1300,3,M L,
372,1,2,1300,4,A K,
373,1,2,1300,4,T G,
374,1,2,1400,2,E Q,
375,1,2,1400,3,O M,
376,1,2,1400,4,T A,
377,1,2,1400,5,N R D,
378,1,2,1500,4,A H,
379,1,2,1500,5,R W,
380,1,2,1600,2,E Q,
381,1,2,1600,3,I F,
382,1,2,1600,4,G K,
383,1,2,1600,outside,P U,
