,day,start_time,end_time,behaviour,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,Notes,patch_focal,treatment,patch_partner,X,partner_sex,,
213,1,8:03:35 AM,,mount,",0","8,",y,y,NA,,A,social,U,NA,female,,
182,1,8:08:13 AM,,insemination,",3","5,",n,NA,n,,G,isolated,R,NA,female,,
152,1,10:31:20 AM,,mount,",7","2,",y,y,NA,,L,isolated,O,NA,female,,
153,1,10:35:42 AM,,mount,",7","2,",y,y,NA,,L,isolated,O,NA,female,,
176,1,9:07:11 AM,,mount,",7","4,",n,NA,y,,L,isolated,Q,NA,female,,
184,1,10:16:31 AM,10:17:23 AM,insemination,",7","5,",n,NA,n,,L,isolated,R,NA,female,,
156,1,9:19:34 AM,,mount,:0,"2,",y,y,NA,,I,isolated,O,NA,female,,
157,1,9:24:19 AM,,mount,:0,"2,",y,y,NA,,I,isolated,O,NA,female,,
158,1,9:38:37 AM,,mount,:0,"2,",y,n,y,,I,isolated,O,NA,female,,
159,1,9:53:44 AM,,mount,:0,"2,",y,y,NA,,I,isolated,O,NA,female,,
160,1,11:32:29 AM,,mount,:0,"2,",y,n,y,,I,isolated,O,NA,female,,
161,1,12:50:46 PM,,mount,:0,"2,",n,NA,y,,I,isolated,O,NA,female,,
165,1,9:45:03 AM,9:46:24 AM,insemination,:0,"3,",n,NA,n,,I,isolated,P,NA,female,,
180,1,9:04:45 AM,9:06:03 AM,insemination,:0,"4,",n,NA,n,,I,isolated,Q,NA,female,,
6,2,9:45:46 AM,,mount,",1",4:00,y,y,NA,,C,social,W,NA,female,,
13,2,2:04:26 PM,2:05:45 PM,insemination,",1",7:00,n,NA,n,,C,social,N,NA,female,,
227,1,8:28:18 AM,,mount,",8","8,",n,NA,y,,J,isolated,U,NA,female,,
200,1,3:16:41 PM,3:17:16 PM,insemination,:0,"6,",n,NA,n,,I,isolated,S,NA,female,,
166,2,9:03:17 AM,,mount,:7,"3,",n,NA,y,,B,social,P,NA,female,,
167,2,9:20:34 AM,,mount,:7,"3,",n,NA,y,,B,social,P,NA,female,,
60,1,8:05:07 AM,,mount,",0",",5",,,,,A,social,E,NA,male,,
83,1,8:46:05 AM,,mount,",0",",8",,,,,A,social,J,NA,male,,
110,1,9:50:47 AM,,mount,",0",:0,,,,,A,social,I,NA,male,,
119,1,8:03:27 AM,,mount,",0",:1,,,,,A,social,K,NA,male,,
183,1,10:16:22 AM,,mount,",4","5,",n,NA,y,,D,social,R,NA,female,,
172,2,11:18:17 AM,,mount,",4","4,",y,y,NA,refusal stance,D,social,Q,NA,female,,
113,2,12:29:33 PM,,mount,",5",:0,,,,,E,social,I,NA,male,,
18,2,8:50:52 AM,,mount,",6",7:00,n,NA,y,,H,isolated,N,NA,female,,
209,1,1:10:49 PM,1:11:57 PM,insemination,",7","7,",y,n,,,L,isolated,T,NA,female,,
185,1,8:13:09 AM,,mount,",9","5,",y,y,NA,,F,social,R,NA,female,,
211,1,1:17:19 PM,,mount,",9","7,",y,y,NA,,F,social,T,NA,female,,
228,1,1:11:45 PM,,mount,",9","8,",y,y,NA,,F,social,U,NA,female,,
