,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex,
116,1,11:06:26 AM,,",7","3,",y,n,y,mount,,F,isolated,K,female,
161,1,1:30:59 PM,,",0",",7",,,,mount,,H,isolated,F,male,
146,1,12:37:05 PM,,",7","3,",y,y,NA,mount,,F,isolated,K,female,
57,1,8:39:32 AM,,",2",",9",,,,mount,,D,social,E,male,
105,1,10:13:21 AM,,",2",",9",,,,mount,,D,social,E,male,
156,1,1:06:09 PM,,",4",",8",,,,mount,,G,isolated,C,male,
107,1,10:19:25 AM,,",1","7,",y,y,NA,mount,,A,social,M,female,
167,1,1:45:00 PM,,",4",",2",,,,mount,,G,isolated,D,male,
106,1,10:14:58 AM,,",2",",9",,,,mount,,D,social,E,male,
113,1,10:34:58 AM,,",2",",9",,,,mount,,D,social,E,male,
115,1,11:03:40 AM,,",2",",9",,,,mount,,D,social,E,male,
117,1,11:06:55 AM,,",2",",9",,,,mount,,D,social,E,male,
119,1,11:11:44 AM,,",2",",5",,,,mount,,D,social,B,male,
159,1,1:17:09 PM,,",2",",8",,,,mount,,D,social,C,male,
169,1,2:03:58 PM,,",4",",8",,,,mount,,G,isolated,C,male,
166,1,1:44:52 PM,,",2",",4",,,,mount,,D,social,G,male,
178,1,2:42:42 PM,,",9",",8",,,,mount,,E,isolated,C,male,
187,1,3:24:54 PM,,",7","2,",y,y,NA,mount,,F,isolated,J,female,
163,1,1:31:28 PM,,",0",",7",,,,mount,,H,isolated,F,male,
3,1,8:02:57 AM,,",7",",2",,,,mount,,F,isolated,D,male,
13,1,8:05:13 AM,,",7",",2",,,,mount,,F,isolated,D,male,
183,1,2:54:01 PM,,",8",",2",,,,mount,,C,social,D,male,
184,1,2:54:10 PM,,",9",",2",,,,mount,,E,isolated,D,male,
40,1,8:25:31 AM,,",7",",5",,,,mount,,F,isolated,B,male,
88,1,9:17:58 AM,,",7",",0",,,,mount,,F,isolated,H,male,
158,1,1:15:12 PM,,",7",",0",,,,mount,,F,isolated,H,male,
181,1,2:44:50 PM,,",7",",0",,,,mount,,F,isolated,H,male,
182,1,2:49:52 PM,,",7",",0",,,,mount,,F,isolated,H,male,
190,1,3:42:32 PM,,",0",",7",,,,mount,"End of day temp: 26.8,  54% RH",H,isolated,F,male,
201,2,10:02:45 AM,10:03:39 AM,",0","7,",n,NA,n,insemination,,H,isolated,M,female,
286,2,2:09:43 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
288,2,2:12:55 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
253,2,1:03:58 PM,,",5","0,",n,NA,y,mount,,B,social,I,female,
260,2,1:09:56 PM,,",4","0,",n,NA,y,mount,,G,isolated,I,female,
289,2,2:14:22 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
197,2,9:35:37 AM,9:36:04 AM,",5","0,",Y,N,N,insemination,,B,social,I,female,
202,2,10:08:02 AM,,",4","0,",y,y,NA,mount,,G,isolated,I,female,
211,2,10:45:59 AM,,",4","0,",y,y,NA,mount,,G,isolated,I,female,
271,2,1:28:16 PM,1:29:02 PM,",1","3,",n,NA,n,insemination,,A,social,K,female,
270,2,1:17:14 PM,,",0","7,",n,NA,y,mount,,H,isolated,M,female,
195,2,9:22:23 AM,,",4",",5",,,,mount,,G,isolated,B,male,
287,2,2:10:50 PM,,",0","8,",n,NA,y,mount,,H,isolated,N,female,
198,2,9:36:31 AM,,",4",",5",,,,mount,,G,isolated,B,male,
291,2,2:19:58 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
203,2,10:13:51 AM,,",0","7,",Y,N,Y,mount,,H,isolated,M,female,
256,2,1:05:20 PM,,",1","3,",n,NA,y,mount,,A,social,K,female,
208,2,10:36:32 AM,10:36:54 AM,",2","2,",N,NA,N,insemination,,D,social,J,female,
243,2,12:44:55 PM,12:45:27 PM,",8","8,",n,NA,n,insemination,,C,social,N,female,
259,2,1:08:09 PM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
199,2,9:46:14 AM,,",4",",5",,,,mount,,G,isolated,B,male,
255,2,1:05:06 PM,,",8","0,",n,NA,y,mount,,C,social,I,female,
213,2,11:30:08 AM,,",2","0,",n,NA,y,mount,,D,social,I,female,
276,2,1:41:22 PM,,",5","0,",y,y,NA,mount,,B,social,I,female,
194,2,9:22:14 AM,,",5",",8",,,,mount,,B,social,C,male,
237,2,12:33:55 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
284,2,2:06:26 PM,,",8","0,",n,NA,y,mount,,C,social,I,female,
299,2,2:34:27 PM,,",9","0,",n,NA,y,mount,,E,isolated,I,female,
209,2,10:44:18 AM,,",8","0,",Y,Y,NA,mount,,C,social,I,female,
304,2,3:09:40 PM,,",9","0,",y,n,y,mount,,E,isolated,I,female,
258,2,1:07:51 PM,,",2","0,",n,NA,y,mount,,D,social,I,female,
210,2,10:44:40 AM,,",9","0,",Y,Y,NA,mount,,E,isolated,I,female,
223,2,11:46:47 AM,11:47:09 AM,",2","0,",y,n,n,insemination,,D,social,I,female,
216,2,11:38:18 AM,,",2","0,",y,n,y,mount,,D,social,I,female,
214,2,11:32:38 AM,,",5",",8",,,,mount,,B,social,C,male,
204,2,10:21:39 AM,,",4",",9",,,,mount,,G,isolated,E,male,
226,2,12:09:54 PM,,",4",",9",,,,mount,,G,isolated,E,male,
215,2,11:33:03 AM,,",5",",8",,,,mount,,B,social,C,male,
212,2,10:53:48 AM,,",8","0,",y,y,NA,mount,,C,social,I,female,
219,2,11:40:31 AM,,",8","0,",y,y,NA,mount,,C,social,I,female,
242,2,12:43:13 PM,,",8","8,",y,y,NA,mount,,C,social,N,female,
224,2,11:51:37 AM,,",2","0,",y,n,y,mount,,D,social,I,female,
225,2,12:08:36 PM,,",5",",8",,,,mount,,B,social,C,male,
217,2,11:39:56 AM,,",8",",5",,,,mount,,C,social,B,male,
228,2,12:14:02 PM,,",5",",4",,,,mount,,B,social,G,male,
229,2,12:15:59 PM,,",8",",4",,,,mount,,C,social,G,male,
240,2,12:38:18 PM,,",2","8,",y,n,y,mount,,D,social,N,female,
227,2,12:13:46 PM,,",4",",9",,,,mount,,G,isolated,E,male,
233,2,12:30:18 PM,,",5",",2",,,,mount,,B,social,D,male,
221,2,11:44:39 AM,,",2","0,",y,y,NA,mount,,D,social,I,female,
238,2,12:37:43 PM,,",4",",9",,,,mount,,G,isolated,E,male,
230,2,12:16:15 PM,,",8",",9",,,,mount,,C,social,E,male,
231,2,12:29:40 PM,,",8",",9",,,,mount,,C,social,E,male,
244,2,12:47:30 PM,,",2","8,",y,y,NA,mount,,D,social,N,female,
241,2,12:38:50 PM,,",4",",5",,,,mount,,G,isolated,B,male,
235,2,12:30:40 PM,,",5",",2",,,,mount,,B,social,D,male,
245,2,12:50:47 PM,,",4",",9",,,,mount,,G,isolated,E,male,
239,2,12:37:51 PM,,",5",",4",,,,mount,,B,social,G,male,
234,2,12:30:24 PM,,",8",",2",,,,mount,,C,social,D,male,
246,2,12:50:57 PM,,",5",",4",,,,mount,,B,social,G,male,
247,2,12:51:17 PM,,",4",",2",,,,mount,,G,isolated,D,male,
251,2,12:52:49 PM,,",4",",5",,,,mount,,G,isolated,B,male,
248,2,12:51:59 PM,,",5",",2",,,,mount,,B,social,D,male,
218,2,11:40:08 AM,,",9","0,",y,y,NA,mount,,E,isolated,I,female,
236,2,12:30:57 PM,,",8",",4",,,,mount,,C,social,G,male,
200,2,9:46:24 AM,,",1",",2",,,,mount,,A,social,D,male,
220,2,11:40:40 AM,,",9",",8",,,,mount,,E,isolated,C,male,
232,2,12:29:59 PM,,",2",",8",,,,mount,,D,social,C,male,
222,2,11:44:53 AM,,",9",",5",,,,mount,,E,isolated,B,male,
252,2,12:53:14 PM,,",4",",9",,,,mount,,G,isolated,E,male,
250,2,12:52:24 PM,,",5",",8",,,,mount,,B,social,C,male,
249,2,12:52:13 PM,,",8",",4",,,,mount,,C,social,G,male,
301,2,2:43:05 PM,,",7","8,",n,NA,y,mount,,F,isolated,N,female,
268,2,1:16:32 PM,,",0","0,",y,y,NA,mount,,H,isolated,I,female,
191,2,9:11:54 AM,,",0",",7",,,,mount,"Start of day temp: 26.4 C, 52% RH",H,isolated,F,male,
261,2,1:13:20 PM,,",5",",8",,,,mount,,B,social,C,male,
206,2,10:23:49 AM,,",0",",7",,,,mount,,H,isolated,F,male,
264,2,1:13:51 PM,,",0",",7",,,,mount,,H,isolated,F,male,
254,2,1:04:57 PM,,",9",",8",,,,mount,,E,isolated,C,male,
265,2,1:13:59 PM,,",0",",7",,,,mount,,H,isolated,F,male,
207,2,10:36:21 AM,,",1",",2",,,,mount,,A,social,D,male,
262,2,1:13:27 PM,,",8",",9",,,,mount,,C,social,E,male,
266,2,1:14:55 PM,,",5",",8",,,,mount,,B,social,C,male,
274,2,1:35:45 PM,,",2",",9",,,,mount,,D,social,E,male,
273,2,1:30:41 PM,,",5",",2",,,,mount,,B,social,D,male,
275,2,1:35:53 PM,,",5",",2",,,,mount,,B,social,D,male,
272,2,1:30:32 PM,,",8",",2",,,,mount,,C,social,D,male,
278,2,1:43:12 PM,,",5",",4",,,,mount,,B,social,G,male,
279,2,1:46:19 PM,,",5",",9",,,,mount,,B,social,E,male,
280,2,1:48:49 PM,,",5",",2",,,,mount,,B,social,D,male,
281,2,1:53:51 PM,,",5",",2",,,,mount,,B,social,D,male,
