replicate,day,start_time,end_time,focal,partner,partner_avoid,avoid_success,male_abort,behaviour,notes,patch_focal,treatment,patch_partner,partner_sex
1,1,1:42:14 PM,,",0","0,",n,NA,y,mount,,E,isolated,I,female
1,1,1:46:53 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,1:51:11 PM,,",0","0,",n,NA,y,mount,,E,isolated,I,female
1,1,1:52:24 PM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,1:53:25 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,1:53:30 PM,,",2","8,",n,NA,y,mount,,C,social,O,female
1,1,1:53:56 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,1:57:02 PM,,",0","0,",n,NA,y,mount,,E,isolated,I,female
1,1,1:57:49 PM,1:58:34 PM,",0","8,",y,n,n,insemination,,E,isolated,O,female
1,1,2:01:06 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,2:02:39 PM,2:02:49 PM,",1","4,",n,NA,n,insemination,,D,social,L,female
1,1,2:03:34 PM,,",1","8,",n,NA,y,mount,,D,social,O,female
1,1,2:04:49 PM,,",1","0,",y,n,y,mount,,D,social,I,female
1,1,2:07:22 PM,,",3",MALE,,,,mount,,H,isolated,NA,male
1,1,2:08:45 PM,,",1","8,",n,NA,y,mount,,D,social,O,female
1,1,2:13:08 PM,,",1","0,",y,y,NA,mount,,D,social,I,female
1,1,2:14:01 PM,,",0","6,",n,NA,y,mount,,E,isolated,N,female
1,1,2:17:28 PM,2:18:12 PM,",0","5,",y,n,n,insemination,,E,isolated,M,female
1,1,2:21:07 PM,,",2","1,",n,NA,n,insemination,,C,social,J,female
1,1,2:21:36 PM,,",4",",7",,,,mount,,A,social,G,male
1,1,2:22:12 PM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,2:23:01 PM,,",2","9,",,,,mount,,C,social,P,female
1,1,2:23:28 PM,,",1","9,",n,NA,y,mount,,D,social,P,female
1,1,2:25:07 PM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,2:26:56 PM,,",0","0,",n,NA,y,mount,,E,isolated,I,female
1,1,2:28:32 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,1,2:29:40 PM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,1,2:31:30 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,2:32:53 PM,,",1",",3",,,,mount,,D,social,H,male
1,1,2:33:20 PM,,",0","0,",n,NA,y,mount,,E,isolated,I,female
1,1,2:33:27 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,1,2:33:39 PM,,",1",",3",,,,mount,,D,social,H,male
1,1,2:34:05 PM,2:34:29 PM,",3","4,",n,NA,n,insemination,,H,isolated,L,female
1,1,2:40:29 PM,,",4","9,",n,NA,y,mount,,A,social,P,female
1,1,2:41:18 PM,,",7",",4",,,,mount,,G,isolated,A,male
1,1,2:41:35 PM,,",0","9,",n,NA,y,mount,,E,isolated,P,female
1,1,2:41:48 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,2:43:50 PM,,",4","4,",y,n,y,mount,,A,social,L,female
1,1,2:44:51 PM,,",4","4,",n,NA,y,mount,,A,social,L,female
1,1,2:45:32 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,1,2:47:54 PM,,",0","5,",n,NA,y,mount,,E,isolated,M,female
1,1,2:49:06 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,2:49:50 PM,,",2","4,",n,NA,y,mount,,C,social,L,female
1,1,2:52:07 PM,,",7","4,",y,y,NA,mount,,G,isolated,L,female
1,1,2:53:23 PM,,",2","4,",n,NA,y,mount,,C,social,L,female
1,1,3:02:59 PM,,",0","1,",n,NA,Y,mount,,E,isolated,J,female
1,1,3:03:20 PM,,",0","5,",n,NA,Y,mount,,E,isolated,M,female
1,1,3:04:59 PM,,",8","7,",n,NA,Y,mount,,F,isolated,NA,male
1,1,3:05:30 PM,,",2","8,",N ,NA,N,insemination,,C,social,O,female
1,1,3:07:56 PM,,",9","5,",n,NA,Y,mount,,B,social,M,female
1,1,3:08:38 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,3:09:50 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,3:09:58 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,3:11:42 PM,,",9","4,",n,NA,y,mount,,B,social,L,female
1,1,3:12:01 PM,3:12:30 PM,",0","6,",n,NA,n,insemination,,E,isolated,N,female
1,1,3:14:24 PM,,",2",",3",,,,mount,,C,social,H,male
1,1,3:16:32 PM,,",0","4,",n,NA,y,mount,,E,isolated,L,female
1,1,3:17:39 PM,,",3","0,",y,y,NA,mount,,H,isolated,I,female
1,1,3:18:29 PM,,",3","2,",y,n,y,mount,,H,isolated,K,female
1,1,3:19:26 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,1,3:19:36 PM,,",0","5,",n,NA,y,mount,,E,isolated,M,female
1,1,3:21:36 PM,,",2","2,",n,NA,y,mount,,C,social,K,female
1,1,3:21:59 PM,,",1","2,",y,y,NA,mount,,D,social,K,female
1,1,3:22:25 PM,,",0","9,",y,y,NA,mount,,E,isolated,P,female
1,1,3:23:24 PM,,",0","9,",n,NA,y,mount,,E,isolated,P,female
1,1,3:23:43 PM,,",1",",2",,,,mount,,D,social,C,male
1,1,3:24:10 PM,,",0","5,",n,NA,y,mount,,E,isolated,M,female
1,1,3:25:59 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,1,3:30:53 PM,,",0","1,",n,NA,y,mount,,E,isolated,J,female
1,1,3:31:47 PM,,",0","6,",n,NA,y,mount,,E,isolated,N,female
1,1,3:32:10 PM,,",0","9,",n,NA,y,mount,,E,isolated,P,female
1,1,3:32:52 PM,,",0","5,",n,NA,y,mount,,E,isolated,M,female
1,1,3:35:03 PM,3:35:29 PM,",0","5,",n,NA,n,insemination,,E,isolated,M,female
1,1,3:37:11 PM,,",7",",4",,,,mount,,G,isolated,A,male
1,1,3:37:30 PM,,",7",",4",,,,mount,,G,isolated,A,male
1,1,3:37:37 PM,,",8",",7",,,,mount,,F,isolated,G,male
1,1,3:37:44 PM,,",7",",8",,,,mount,,G,isolated,F,male
1,1,3:38:09 PM,,",7","9,",n,NA,y,mount,,G,isolated,P,female
1,1,3:38:30 PM,,",8","9,",n,NA,,mount,,F,isolated,P,female
1,1,3:39:18 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,1,3:41:47 PM,,",7","9,",y,y,NA,mount,,G,isolated,P,female
1,1,3:46:09 PM,,",3","9,",y,y,NA,mount,,H,isolated,P,female
1,1,3:46:48 PM,,",2",",1",,,,mount,,C,social,D,male
1,1,3:48:48 PM,,",3","1,",n,NA,y,mount,,H,isolated,J,female
1,1,3:49:58 PM,,",1",",2",,,,mount,,D,social,C,male
1,1,3:51:20 PM,,",3","5,",n,NA,y,mount,,H,isolated,M,female
1,1,3:57:49 PM,,",0","8,",n,NA,y,mount,,E,isolated,O,female
1,2,8:13:20 AM,8:13:49 AM,",2","1,",n,NA,n,insemination,LIGHTS LEFT OFF OVERNIGHT,C,social,J,female
1,2,8:17:40 AM,,",9",",2",,,,mount,"temp = 26.3 C, 57% RH",B,social,C,male
1,2,8:23:35 AM,,",8",",0",,,,mount,,F,isolated,E,male
1,2,8:30:56 AM,,",4",",2",,,,mount,,A,social,C,male
1,2,8:36:16 AM,,",8","5,",n,NA,y,mount,,F,isolated,M,female
1,2,8:37:27 AM,,",7",",8",,,,mount,,G,isolated,F,male
1,2,9:28:33 AM,,",1","2,",n,NA,y,mount,,D,social,K,female
1,2,10:14:16 AM,,",2","2,",y,n,y,mount,,C,social,K,female
1,2,10:14:44 AM,,",9",",2",,,,mount,,B,social,C,male
1,2,11:30:36 AM,,",4",",2",,,,mount,,A,social,C,male
1,2,11:30:42 AM,,",2",MALE,,,,mount,,C,social,NA,male
1,2,11:30:50 AM,,",9",",4",,,,mount,,B,social,A,male
1,2,11:31:01 AM,,",1",",9",,,,mount,,D,social,B,male
1,2,11:35:45 AM,,",4",",2",,,,mount,,A,social,C,male
1,2,11:33:17 AM,,",4",",2",,,,mount,,A,social,C,male
1,2,11:33:31 AM,,",2","1,",n,NA,y,mount,,C,social,J,female
1,2,11:34:11 AM,,",9",",2",,,,mount,,B,social,C,male
1,2,11:35:54 AM,,",2",",4",,,,mount,,C,social,A,male
1,2,11:37:31 AM,,",2","2,",n,NA,y,mount,,C,social,K,female
1,2,11:38:16 AM,,",9",",4",,,,mount,,B,social,A,male
1,2,11:38:57 AM,,",2","2,",n,NA,y,mount,,C,social,K,female
1,2,11:39:51 AM,11:40:20 AM,",7","6,",n,NA,n,insemination,,G,isolated,N,female
1,2,11:40:09 AM,,",8",",0",,,,mount,,F,isolated,E,male
