"","day","start_time","end_time","focal","partner","partner_avoid...Y.N.","avoid_success...Y.N.","male_abort...Y.N.","behaviour","notes","patch_focal","treatment","patch_partner","partner_sex"
"352",2,"12:53:32 PM","12:54:12 PM",",9","9,","Y","N","N","insemination","","B","social","P","female"
"353",2,"1:04:17 PM","",",9","6,","Y","Y",NA,"mount","","B","social","N","female"
"354",2,"1:07:56 PM","",",9","6,","Y","N","Y","mount","","B","social","N","female"
"355",2,"1:10:18 PM","",",1",",2","","","","mount","","D","social","C","male"
"356",2,"1:10:34 PM","",",2",",9","","","","mount","","C","social","B","male"
"357",2,"1:16:00 PM","",",3","5,","Y","N","Y","mount","","H","isolated","M","female"
"358",2,"1:16:48 PM","",",7",",8","","","","mount","","G","isolated","F","male"
"359",2,"1:23:39 PM","",",4",",2","","","","mount","","A","social","C","male"
"360",2,"1:23:59 PM","",",9",",2","","","","mount","","B","social","C","male"
"361",2,"1:24:01 PM","",",2",",9","","","","mount","","C","social","B","male"
"362",2,"1:35:21 PM","",",2",",9","","","","mount","","C","social","B","male"
"363",2,"1:36:52 PM","",",9",",4","","","","mount","","B","social","A","male"
"364",2,"1:38:22 PM","",",4",",9","","","","mount","","A","social","B","male"
"365",2,"1:38:38 PM","",",8","6,","Y","Y",NA,"mount","","F","isolated","N","female"
"366",2,"1:39:03 PM","",",0",",8","","","","mount","","E","isolated","F","male"
"367",2,"1:39:35 PM","",",0",",8","","","","mount","","E","isolated","F","male"
"368",2,"1:39:52 PM","",",7",",8","","","","mount","","G","isolated","F","male"
"369",2,"1:40:20 PM","",",8",",0","","","","mount","","F","isolated","E","male"
"370",2,"1:41:23 PM","",",8",",0","","","","mount","","F","isolated","E","male"
"371",2,"1:44:45 PM","",",4",",9","","","","mount","","A","social","B","male"
"372",2,"1:49:26 PM","",",2","1,","Y","N","Y","mount","","C","social","J","female"
"373",2,"1:59:48 PM","",",8","0,","n",NA,"n","insemination","","F","isolated","I","female"
"374",2,"2:00:33 PM","",",0","8,","y","y",NA,"mount","","E","isolated","O","female"
"375",2,"2:00:34 PM","",",0",",8","","","","mount","","E","isolated","F","male"
"376",2,"2:06:55 PM","",",0","6,","y","y",NA,"mount","","E","isolated","N","female"
"377",2,"2:06:57 PM","",",7","6,","y","y",NA,"mount","","G","isolated","N","female"
"378",2,"2:09:05 PM","",",0","5,","y","y",NA,"mount","","E","isolated","M","female"
"379",2,"2:09:05 PM","",",4","1,","y","y",NA,"mount","","A","social","J","female"
"380",2,"2:09:06 PM","",",8","0,","y","y",NA,"mount","","F","isolated","I","female"
"381",2,"2:09:06 PM","",",8","0,","n",NA,"y","mount","","F","isolated","I","female"
"382",2,"2:09:06 PM","",",8","5,","n",NA,"y","mount","","F","isolated","M","female"
"383",2,"2:09:43 PM","",",2",",9","","","","mount","","C","social","B","male"
