day,start_time,end_time,focal,partner,partner_avoid? (Y/N),avoid_success? (Y/N),male_abort? (Y/N),behaviour,notes
1,2:54:01 PM,,",8",",2",,,,mount,
1,2:54:10 PM,,",9",",2",,,,mount,
1,3:21:43 PM,,",7","8,",n,NA,y,mount,
1,3:24:28 PM,,",7","2,",n,NA,y,mount,
1,3:24:54 PM,,",7","2,",y,y,NA,mount,
1,3:25:08 PM,,",7","2,",n,NA,y,mount,
1,3:38:25 PM,,",7","9,",n,NA,y,mount,
1,3:42:32 PM,,",0",",7",,,,mount,"End of day temp: 26.8,  54% RH"
2,9:11:54 AM,,",0",",7",,,,mount,"Start of day temp: 26.4 C, 52% RH"
2,9:12:21 AM,,",7",",0",,,,mount,
2,9:18:30 AM,,",7",",0",,,,mount,
2,9:22:14 AM,,",5",",8",,,,mount,
2,9:22:23 AM,,",4",",5",,,,mount,
2,9:27:36 AM,,",7",",0",,,,mount,
2,9:35:37 AM,9:36:04 AM,",5","0,",Y,N,N,insemination,
2,9:36:31 AM,,",4",",5",,,,mount,
2,9:46:14 AM,,",4",",5",,,,mount,
2,9:46:24 AM,,",1",",2",,,,mount,
2,10:02:45 AM,10:03:39 AM,",0","7,",n,NA,n,insemination,
2,10:08:02 AM,,",4","0,",y,y,NA,mount,
2,10:13:51 AM,,",0","7,",Y,N,Y,mount,
2,10:21:39 AM,,",4",",9",,,,mount,
2,10:23:07 AM,,",7",",0",,,,mount,
2,10:23:49 AM,,",0",",7",,,,mount,
2,10:36:21 AM,,",1",",2",,,,mount,
2,10:36:32 AM,10:36:54 AM,",2","2,",N,NA,N,insemination,
2,10:44:18 AM,,",8","0,",Y,Y,NA,mount,
2,10:44:40 AM,,",9","0,",Y,Y,NA,mount,
2,10:45:59 AM,,",4","0,",y,y,NA,mount,
2,10:53:48 AM,,",8","0,",y,y,NA,mount,
2,11:30:08 AM,,",2","0,",n,NA,y,mount,
2,11:32:38 AM,,",5",",8",,,,mount,
2,11:33:03 AM,,",5",",8",,,,mount,
2,11:38:18 AM,,",2","0,",y,n,y,mount,
2,11:39:56 AM,,",8",",5",,,,mount,
2,11:40:08 AM,,",9","0,",y,y,NA,mount,
2,11:40:31 AM,,",8","0,",y,y,NA,mount,
2,11:40:40 AM,,",9",",8",,,,mount,
2,11:44:39 AM,,",2","0,",y,y,NA,mount,
2,11:44:53 AM,,",9",",5",,,,mount,
2,11:46:47 AM,11:47:09 AM,",2","0,",y,n,n,insemination,
2,11:51:37 AM,,",2","0,",y,n,y,mount,
2,12:08:36 PM,,",5",",8",,,,mount,
2,12:09:54 PM,,",4",",9",,,,mount,
2,12:13:46 PM,,",4",",9",,,,mount,
2,12:14:02 PM,,",5",",4",,,,mount,
2,12:15:59 PM,,",8",",4",,,,mount,
2,12:16:15 PM,,",8",",9",,,,mount,
2,12:29:40 PM,,",8",",9",,,,mount,
2,12:29:59 PM,,",2",",8",,,,mount,
2,12:30:18 PM,,",5",",2",,,,mount,
2,12:30:24 PM,,",8",",2",,,,mount,
2,12:30:40 PM,,",5",",2",,,,mount,
