,day,start_time,end_time,focal,partner,partner_avoid...Y.N.,avoid_success...Y.N.,male_abort...Y.N.,behaviour,notes,patch_focal,patch_partner,treatment,,,
165,2,1:09:32 PM,,",5","8,",y,y,NA,mount,,E,P,isolated,,,
166,2,1:11:07 PM,,",5","8,",y,y,NA,mount,,E,P,isolated,,,
168,2,1:12:28 PM,,",3","5,",y,y,NA,mount,,C,K,social,,,
170,2,1:16:22 PM,,",3","7,",y,y,NA,mount,,C,I,social,,,
172,2,1:17:50 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
174,2,1:20:53 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
175,2,1:22:19 PM,,",4","5,",y,y,NA,mount,,D,K,social,,,
176,2,1:23:39 PM,,",3","4,",y,y,NA,mount,,C,O,isolated,,,
179,2,1:27:00 PM,,",0","5,",y,y,NA,mount,,A,K,social,,,
181,2,1:27:54 PM,,",3","7,",y,y,NA,mount,,C,I,social,,,
195,2,1:52:07 PM,,",7","7,",y,y,NA,mount,,F,I,social,,,
199,2,2:14:14 PM,,",3","6,",y,y,NA,mount,,C,L,social,,,
200,2,2:15:45 PM,,",3","6,",y,y,NA,mount,,C,L,social,,,
203,2,2:30:16 PM,,",3","1,",y,y,NA,mount,,C,J,social,,,
204,2,2:30:43 PM,,",7","6,",y,y,NA,mount,,F,L,social,,,
208,2,2:38:10 PM,,",3","6,",y,y,NA,mount,,C,L,social,,,
209,2,2:38:21 PM,,",0","6,",y,y,NA,mount,,A,L,social,,,
218,2,3:15:13 PM,,",5","9,",y,y,NA,mount,,E,N,isolated,,,
219,2,3:16:28 PM,,",3","9,",y,y,NA,mount,,C,N,isolated,,,
193,2,1:51:29 PM,,",3","4,",y,n,y,mount,,C,O,isolated,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
