group,replicate,day,time,location,members,notes
432,6,2,900,4,H B O T,
433,6,2,900,5,L C S F U V,
434,6,2,1000,2,G E K R,900
435,6,2,1000,4,H O B T,
436,6,2,1000,5,C S F V L U,
437,6,2,1100,2,K E G R,1000
438,6,2,1100,4,T B H O,
439,6,2,1100,5,U C V L F S,
440,6,2,1200,2,K E G R,1100
441,6,2,1200,4,H B O T,
442,6,2,1200,5,S L F U C V,
443,6,2,1300,2,E G K R,1200
444,6,2,1300,4,H B T O,
445,6,2,1300,5,F S U L C,
446,6,2,1300,2,K G E,1300
447,6,2,1400,4,H B O E,
448,6,2,1400,5,R L U S F C,
449,6,2,1500,2,E K G,1400
450,6,2,1500,3,I A,
451,6,2,1500,4,B T H O,
452,6,2,1500,5,R L C S U F,
453,6,2,1600,2,E G K,1500
454,6,2,1600,3,F A,
455,6,2,1600,4,B H O T,
456,6,2,1600,5,R L U S Q C F,
